dt_iso,temp,temp_min,temp_max,pressure,humidity,wind_speed,wind_deg,rain_1h,rain_3h,snow_3h,clouds_all,weather_id,weather_main,weather_description,weather_icon
2015-01-01 00:00:00+01:00,281.625,281.625,281.625,1035,100,7,58,0,0,0,0,800,clear,sky is clear,01n
2015-01-01 01:00:00+01:00,281.625,281.625,281.625,1035,100,7,58,0,0,0,0,800,clear,sky is clear,01n
2015-01-01 02:00:00+01:00,281.286,281.286,281.286,1036,100,7,48,0,0,0,0,800,clear,sky is clear,01n
2015-01-01 03:00:00+01:00,281.286,281.286,281.286,1036,100,7,48,0,0,0,0,800,clear,sky is clear,01n
2015-01-01 04:00:00+01:00,281.286,281.286,281.286,1036,100,7,48,0,0,0,0,800,clear,sky is clear,01n
2015-01-01 05:00:00+01:00,280.467,280.467,280.467,1037,100,5,32,0,0,0,0,800,clear,sky is clear,01n
2015-01-01 06:00:00+01:00,280.467,280.467,280.467,1037,100,5,32,0,0,0,0,800,clear,sky is clear,01n
2015-01-01 07:00:00+01:00,280.467,280.467,280.467,1037,100,5,32,0,0,0,0,800,clear,sky is clear,01n
2015-01-01 08:00:00+01:00,280.751,280.751,280.751,1038,100,2,353,0,0,0,0,800,clear,sky is clear,01d
2015-01-01 09:00:00+01:00,280.751,280.751,280.751,1038,100,2,353,0,0,0,0,800,clear,sky is clear,01d
2015-01-01 10:00:00+01:00,280.751,280.751,280.751,1038,100,2,353,0,0,0,0,800,clear,sky is clear,01d
2015-01-01 11:00:00+01:00,283.249,283.249,283.249,1038,100,2,272,0,0,0,0,800,clear,sky is clear,01d
2015-01-01 12:00:00+01:00,283.249,283.249,283.249,1038,100,2,272,0,0,0,0,800,clear,sky is clear,01d
2015-01-01 13:00:00+01:00,283.249,283.249,283.249,1038,100,2,272,0,0,0,0,800,clear,sky is clear,01d
2015-01-01 14:00:00+01:00,283.8043125,283.8043125,283.8043125,1035,57,3,275,0,0,0,0,800,clear,sky is clear,1
2015-01-01 15:00:00+01:00,284.3166875,284.3166875,284.3166875,1035,58,4,263,0,0,0,0,800,clear,sky is clear,1
2015-01-01 16:00:00+01:00,283.7205,283.7205,283.7205,1035,62,4,267,0,0,0,0,800,clear,sky is clear,1
2015-01-01 17:00:00+01:00,284.6023125,284.6023125,284.6023125,1035,62,5,250,0,0,0,0,800,clear,sky is clear,1
2015-01-01 18:00:00+01:00,284.3756563,284.3756563,284.3756563,1035,65,5,248,0,0,0,0,800,clear,sky is clear,1
2015-01-01 19:00:00+01:00,284.1762188,284.1762188,284.1762188,1036,83,4,260,0,0,0,0,800,clear,sky is clear,1
2015-01-01 20:00:00+01:00,283.945,283.945,283.945,1036,84,5,256,0,0,0,0,800,clear,sky is clear,1
2015-01-01 21:00:00+01:00,283.741,283.741,283.741,1038,100,4,266,0,0,0,0,800,clear,sky is clear,01n
2015-01-01 22:00:00+01:00,283.741,283.741,283.741,1038,100,4,266,0,0,0,0,800,clear,sky is clear,01n
2015-01-01 23:00:00+01:00,282.779,282.779,282.779,1038,100,2,296,0,0,0,0,800,clear,sky is clear,01n
2015-01-02 00:00:00+01:00,282.779,282.779,282.779,1038,100,2,296,0,0,0,0,800,clear,sky is clear,01n
2015-01-02 01:00:00+01:00,282.779,282.779,282.779,1038,100,2,296,0,0,0,0,800,clear,sky is clear,01n
2015-01-02 02:00:00+01:00,281.864,281.864,281.864,1037,100,2,338,0,0,0,0,800,clear,sky is clear,01n
2015-01-02 03:00:00+01:00,281.864,281.864,281.864,1037,100,2,338,0,0,0,0,800,clear,sky is clear,01n
2015-01-02 04:00:00+01:00,281.864,281.864,281.864,1037,100,2,338,0,0,0,0,800,clear,sky is clear,01n
2015-01-02 05:00:00+01:00,281.452,281.452,281.452,1038,100,1,338,0,0,0,0,800,clear,sky is clear,01n
2015-01-02 06:00:00+01:00,281.452,281.452,281.452,1038,100,1,338,0,0,0,0,800,clear,sky is clear,01n
2015-01-02 07:00:00+01:00,281.452,281.452,281.452,1038,100,1,338,0,0,0,0,800,clear,sky is clear,01n
2015-01-02 08:00:00+01:00,282.505,282.505,282.505,1039,100,1,311,0,0,0,0,800,clear,sky is clear,01d
2015-01-02 09:00:00+01:00,282.505,282.505,282.505,1039,100,1,311,0,0,0,0,800,clear,sky is clear,01d
2015-01-02 10:00:00+01:00,282.505,282.505,282.505,1039,100,1,311,0,0,0,0,800,clear,sky is clear,01d
2015-01-02 11:00:00+01:00,284.97,284.97,284.97,1039,100,2,275,0,0,0,0,800,clear,sky is clear,01d
2015-01-02 12:00:00+01:00,285.379,285.379,285.379,1037,74,2,272,0,0,0,0,800,clear,sky is clear,1
2015-01-02 13:00:00+01:00,284.97,284.97,284.97,1039,100,2,275,0,0,0,0,800,clear,sky is clear,01d
2015-01-02 14:00:00+01:00,286.0583125,286.0583125,286.0583125,1035,50,2,264,0,0,0,0,800,clear,sky is clear,1
2015-01-02 15:00:00+01:00,286.3286875,286.3286875,286.3286875,1035,52,2,260,0,0,0,0,800,clear,sky is clear,1
2015-01-02 16:00:00+01:00,285.345,285.345,285.345,1037,74,2,266,0,0,0,6,800,clear,sky is clear,2
2015-01-02 17:00:00+01:00,286.0333125,286.0333125,286.0333125,1036,69,2,258,0,0,0,4,800,clear,sky is clear,2
2015-01-02 18:00:00+01:00,285.4676875,285.4676875,285.4676875,1036,84,2,260,0,0,0,8,800,clear,sky is clear,2
2015-01-02 19:00:00+01:00,284.902,284.902,284.902,1037,100,2,263,0,0,0,12,801,clouds,few clouds,02n
2015-01-02 20:00:00+01:00,284.632,284.632,284.632,1038,100,2,274,0,0,0,38,802,clouds,scattered clouds,3
2015-01-02 21:00:00+01:00,284.362,284.362,284.362,1038,100,2,285,0,0,0,64,803,clouds,broken clouds,04n
2015-01-02 22:00:00+01:00,284.362,284.362,284.362,1038,100,2,285,0,0,0,64,803,clouds,broken clouds,04n
2015-01-02 23:00:00+01:00,284.362,284.362,284.362,1038,100,2,285,0,0,0,64,803,clouds,broken clouds,04n
2015-01-03 00:00:00+01:00,283.885,283.885,283.885,1036,84,2,306,0,0,0,44,802,clouds,scattered clouds,3
2015-01-03 01:00:00+01:00,283.408,283.408,283.408,1037,100,3,328,0,0,0,24,801,clouds,few clouds,02n
2015-01-03 02:00:00+01:00,282.867,282.867,282.867,1037,100,3,322,0,0,0,12,801,clouds,few clouds,02n
2015-01-03 03:00:00+01:00,282.867,282.867,282.867,1037,100,3,322,0,0,0,12,801,clouds,few clouds,02n
2015-01-03 04:00:00+01:00,282.867,282.867,282.867,1037,100,3,322,0,0,0,12,801,clouds,few clouds,02n
2015-01-03 05:00:00+01:00,282.867,282.867,282.867,1037,100,3,322,0,0,0,12,801,clouds,few clouds,02n
2015-01-03 06:00:00+01:00,282.219,282.219,282.219,1036,100,3,305,0,0,0,0,800,clear,sky is clear,01n
2015-01-03 07:00:00+01:00,282.219,282.219,282.219,1036,100,3,305,0,0,0,0,800,clear,sky is clear,01n
2015-01-03 08:00:00+01:00,282.219,282.219,282.219,1036,100,3,305,0,0,0,0,800,clear,sky is clear,01d
2015-01-03 09:00:00+01:00,283.052,283.052,283.052,1036,100,3,319,0,0,0,0,800,clear,sky is clear,01d
2015-01-03 10:00:00+01:00,283.052,283.052,283.052,1036,100,3,319,0,0,0,0,800,clear,sky is clear,01d
2015-01-03 11:00:00+01:00,286.043,286.043,286.043,1036,100,2,306,0,0,0,0,800,clear,sky is clear,01d
2015-01-03 12:00:00+01:00,286.043,286.043,286.043,1036,100,2,306,0,0,0,0,800,clear,sky is clear,01d
2015-01-03 13:00:00+01:00,286.043,286.043,286.043,1036,100,2,306,0,0,0,0,800,clear,sky is clear,01d
2015-01-03 14:00:00+01:00,286.043,286.043,286.043,1036,100,2,306,0,0,0,0,800,clear,sky is clear,01d
2015-01-03 15:00:00+01:00,287.148,287.148,287.148,1034,97,2,248,0,0,0,0,800,clear,sky is clear,01d
2015-01-03 16:00:00+01:00,286.8905,286.8905,286.8905,1033,88,1,265,0,0,0,0,800,clear,sky is clear,1
2015-01-03 17:00:00+01:00,287.1306875,287.1306875,287.1306875,1031,58,1,279,0,0,0,0,800,clear,sky is clear,1
2015-01-03 18:00:00+01:00,286.6243438,286.6243438,286.6243438,1031,60,1,299,0,0,0,0,800,clear,sky is clear,1
2015-01-03 19:00:00+01:00,286.118,286.118,286.118,1034,100,1,318,0,0,0,0,800,clear,sky is clear,01n
2015-01-03 20:00:00+01:00,285.152,285.152,285.152,1034,100,2,36,0,0,0,0,800,clear,sky is clear,01n
2015-01-03 21:00:00+01:00,283.07,283.07,283.07,1027,51,2,36,0,0,0,0,800,clear,sky is clear,01n
2015-01-03 22:00:00+01:00,285.46,285.46,285.46,1028,37,2,67,0,0,0,0,800,clear,sky is clear,01n
2015-01-03 23:00:00+01:00,285.65,285.65,285.65,1028,35,2,29,0,0,0,0,800,clear,sky is clear,01n
2015-01-04 00:00:00+01:00,284.65,284.65,284.65,1028,37,2,45,0,0,0,0,800,clear,sky is clear,01n
2015-01-04 01:00:00+01:00,285.35,285.35,285.35,1027,37,1,22,0,0,0,0,800,clear,sky is clear,01n
2015-01-04 02:00:00+01:00,285.55,285.55,285.55,1027,49,1,22,0,0,0,0,800,clear,sky is clear,01n
2015-01-04 03:00:00+01:00,285.66,285.66,285.66,1028,52,2,22,0,0,0,0,800,clear,sky is clear,01n
2015-01-04 04:00:00+01:00,284.95,284.95,284.95,1027,56,1,0,0,0,0,0,800,clear,sky is clear,01n
2015-01-04 05:00:00+01:00,284.55,284.55,284.55,1027,60,1,0,0,0,0,0,800,clear,sky is clear,01n
2015-01-04 06:00:00+01:00,283.77,283.77,283.77,1027,65,1,0,0,0,0,0,800,clear,sky is clear,01n
2015-01-04 07:00:00+01:00,283.95,283.95,283.95,1027,70,1,337,0,0,0,0,800,clear,sky is clear,01n
2015-01-04 08:00:00+01:00,284.15,284.15,284.15,1027,73,2,315,0,0,0,0,800,clear,sky is clear,01n
2015-01-04 09:00:00+01:00,285.35,285.35,285.35,1027,68,1,315,0,0,0,0,800,clear,sky is clear,01d
2015-01-04 10:00:00+01:00,287.95,287.95,287.95,1028,61,1,112,0,0,0,0,800,clear,sky is clear,01d
2015-01-04 11:00:00+01:00,288.05,288.05,288.05,1028,62,1,135,0,0,0,0,800,clear,sky is clear,01d
2015-01-04 12:00:00+01:00,289.35,289.35,289.35,1027,65,2,135,0,0,0,0,800,clear,sky is clear,01d
2015-01-04 13:00:00+01:00,290.05,290.05,290.05,1027,64,1,157,0,0,0,0,800,clear,sky is clear,01d
2015-01-04 14:00:00+01:00,288.6785,288.6785,288.6785,1029,65,2,215,0,0,0,6,800,clear,sky is clear,2
2015-01-04 15:00:00+01:00,289.55,289.55,289.55,1026,64,1,157,0,0,0,12,801,clouds,few clouds,02d
2015-01-04 16:00:00+01:00,289.36,289.36,289.36,1026,68,0,180,0,0,0,12,801,clouds,few clouds,02d
2015-01-04 17:00:00+01:00,288.115,288.115,288.115,1026,75,0,90,0,0,0,12,801,clouds,few clouds,2
2015-01-04 18:00:00+01:00,286.87,286.87,286.87,1027,83,1,0,0,0,0,12,801,clouds,few clouds,02n
2015-01-04 19:00:00+01:00,287.265,287.265,287.265,1027,86,1,168,0,0,0,6,800,clear,sky is clear,2
2015-01-04 20:00:00+01:00,287.66,287.66,287.66,1028,89,1,337,0,0,0,0,800,clear,sky is clear,01n
2015-01-04 21:00:00+01:00,286.2945,286.2945,286.2945,1030,84,1,305,0,0,0,0,800,clear,sky is clear,1
2015-01-04 22:00:00+01:00,286.85,286.85,286.85,1028,89,1,337,0,0,0,0,800,clear,sky is clear,01n
2015-01-04 23:00:00+01:00,284.87,284.87,284.87,1028,84,3,306,0,0,0,0,800,clear,sky is clear,01n
2015-01-05 00:00:00+01:00,284.6015,284.6015,284.6015,1030,78,2,305,0,0,0,0,800,clear,sky is clear,1
2015-01-05 01:00:00+01:00,284.25,284.25,284.25,1027,69,1,315,0,0,0,0,800,clear,sky is clear,01n
2015-01-05 02:00:00+01:00,283.77,283.77,283.77,1027,70,2,315,0,0,0,0,800,clear,sky is clear,01n
2015-01-05 03:00:00+01:00,282.65,282.65,282.65,1027,81,1,337,0,0,0,0,800,clear,sky is clear,01n
2015-01-05 04:00:00+01:00,282.54,282.54,282.54,1026,82,1,337,0,0,0,0,800,clear,sky is clear,01n
2015-01-05 05:00:00+01:00,282.35,282.35,282.35,1026,82,1,337,0,0,0,0,800,clear,sky is clear,01n
2015-01-05 06:00:00+01:00,282.25,282.25,282.25,1026,79,1,337,0,0,0,0,800,clear,sky is clear,01n
2015-01-05 07:00:00+01:00,282.65,282.65,282.65,1027,83,1,337,0,0,0,0,800,clear,sky is clear,01n
2015-01-05 08:00:00+01:00,282.25,282.25,282.25,1027,82,1,337,0,0,0,0,800,clear,sky is clear,01n
2015-01-05 09:00:00+01:00,282.95,282.95,282.95,1027,76,1,337,0,0,0,0,800,clear,sky is clear,01d
2015-01-05 10:00:00+01:00,287.16,287.16,287.16,1027,55,2,308,0,0,0,0,800,clear,sky is clear,01d
2015-01-05 11:00:00+01:00,288.26,288.26,288.26,1027,53,2,308,0,0,0,0,800,clear,sky is clear,01d
2015-01-05 12:00:00+01:00,288.85,288.85,288.85,1026,56,1,225,0,0,0,0,800,clear,sky is clear,01d
2015-01-05 13:00:00+01:00,289.56,289.56,289.56,1025,51,4,253,0,0,0,0,800,clear,sky is clear,01d
2015-01-05 14:00:00+01:00,287.67,287.67,287.67,1025,48,1,135,0,0,0,0,800,clear,sky is clear,01d
2015-01-05 15:00:00+01:00,287.0955,287.0955,287.0955,1026,58,1,165,0,0,0,0,800,clear,sky is clear,1
2015-01-05 16:00:00+01:00,286.4692188,286.4692188,286.4692188,1026,61,2,175,0,0,0,0,800,clear,sky is clear,1
2015-01-05 17:00:00+01:00,285.9033125,285.9033125,285.9033125,1028,73,2,209,0,0,0,0,800,clear,sky is clear,1
2015-01-05 18:00:00+01:00,285.2856875,285.2856875,285.2856875,1028,77,2,222,0,0,0,0,800,clear,sky is clear,1
2015-01-05 19:00:00+01:00,285.34275,285.34275,285.34275,1025,79,4,236,0,0,0,9,800,clear,sky is clear,2
2015-01-05 20:00:00+01:00,284.95,284.95,284.95,1024,83,5,250,0,0,0,12,801,clouds,few clouds,02n
2015-01-05 21:00:00+01:00,285.36,285.36,285.36,1024,86,1,0,0,0,0,12,801,clouds,few clouds,02n
2015-01-05 22:00:00+01:00,285.65,285.65,285.65,1023,89,5,250,0,0,0,12,801,clouds,few clouds,02n
2015-01-05 23:00:00+01:00,284.96,284.96,284.96,1023,87,5,253,0,0,0,34,802,clouds,scattered clouds,3
2015-01-06 00:00:00+01:00,284.27,284.27,284.27,1022,85,6,256,0,0,0,56,803,clouds,broken clouds,04n
2015-01-06 01:00:00+01:00,284.15,284.15,284.15,1022,83,1,292,0,0,0,56,803,clouds,broken clouds,04n
2015-01-06 02:00:00+01:00,284.35,284.35,284.35,1021,80,1,22,0,0,0,88,804,clouds,overcast clouds,04n
2015-01-06 03:00:00+01:00,284.65,284.65,284.65,1021,73,1,337,0,0,0,88,804,clouds,overcast clouds,04n
2015-01-06 04:00:00+01:00,282.87,282.87,282.87,1021,82,1,22,0,0,0,88,804,clouds,overcast clouds,04n
2015-01-06 05:00:00+01:00,282.75,282.75,282.75,1021,83,1,22,0,0,0,44,802,clouds,scattered clouds,03n
2015-01-06 06:00:00+01:00,283.04,283.04,283.04,1021,84,1,22,0,0,0,44,802,clouds,scattered clouds,03n
2015-01-06 07:00:00+01:00,282.85,282.85,282.85,1021,75,1,0,0,0,0,44,802,clouds,scattered clouds,03n
2015-01-06 08:00:00+01:00,282.54,282.54,282.54,1021,74,1,337,0,0,0,44,802,clouds,scattered clouds,03d
2015-01-06 09:00:00+01:00,284.26,284.26,284.26,1022,65,1,22,0,0,0,44,802,clouds,scattered clouds,03d
2015-01-06 10:00:00+01:00,287.86,287.86,287.86,1022,52,3,350,0,0,0,44,802,clouds,scattered clouds,03d
2015-01-06 11:00:00+01:00,286.76,286.76,286.76,1022,53,1,135,0,0,0,44,802,clouds,scattered clouds,03d
2015-01-06 12:00:00+01:00,286.95,286.95,286.95,1021,54,1,157,0,0,0,24,801,clouds,few clouds,02d
2015-01-06 13:00:00+01:00,286.95,286.95,286.95,1021,59,1,157,0,0,0,12,801,clouds,few clouds,2
2015-01-06 14:00:00+01:00,286.95,286.95,286.95,1021,64,1,157,0,0,0,0,800,clear,sky is clear,01d
2015-01-06 15:00:00+01:00,286.75,286.75,286.75,1021,67,1,135,0,0,0,0,800,clear,sky is clear,01d
2015-01-06 16:00:00+01:00,286.6,286.6,286.6,1021,67,1,111,0,0,0,4,800,clear,sky is clear,2
2015-01-06 17:00:00+01:00,286.45,286.45,286.45,1021,68,0,88,0,0,0,8,800,clear,sky is clear,02d
2015-01-06 18:00:00+01:00,284.85,284.85,284.85,1022,73,1,315,0,0,0,8,800,clear,sky is clear,02n
2015-01-06 19:00:00+01:00,284.35,284.35,284.35,1023,77,1,326,0,0,0,26,802,clouds,scattered clouds,3
2015-01-06 20:00:00+01:00,283.85,283.85,283.85,1023,81,1,337,0,0,0,44,802,clouds,scattered clouds,03n
2015-01-06 21:00:00+01:00,283.9,283.9,283.9,1023,82,1,337,0,0,0,44,802,clouds,scattered clouds,3
2015-01-06 22:00:00+01:00,283.95,283.95,283.95,1023,84,1,337,0,0,0,44,802,clouds,scattered clouds,03n
2015-01-06 23:00:00+01:00,284.15,284.15,284.15,1024,82,1,22,0,0,0,44,802,clouds,scattered clouds,03n
2015-01-07 00:00:00+01:00,284.1,284.1,284.1,1025,81,1,179,0,0,0,44,802,clouds,scattered clouds,3
